id,vel_mean,tiempo_terminar,colision,react_time,quieto_count
661172,2.0880755665279027,56.63824129104614,False,0.02587924506410419,0
213555,2.1384814175994706,55.28927397727966,False,0.024280677487821003,0
34286,2.1715759004064137,54.37100601196289,False,0.029692265241929146,0
971000,2.1861183411151845,53.999454736709595,False,0.014267572698796548,0
865716,2.213274934937855,53.416301012039185,False,0.02576340474032201,0
372961,2.2547904387195787,52.40530490875244,False,0.02566574884931825,0
110444,2.3048551734271334,51.34188652038574,False,0.01865574937300042,0
434079,2.339773021762128,50.990763664245605,False,0.026436447876859108,0
674228,2.3888363424727244,50.06253147125244,False,0.020973037225797873,0
577757,2.3962125809638826,50.18106460571289,False,0.022343445835263376,0
70823,2.4259311276808617,49.78894090652466,False,0.026617038841514083,0
79439,2.5118626409262084,48.202882051467896,False,0.012427983439573104,0
677615,2.5563819573329276,47.535346269607544,False,0.011421043365126978,0
449773,2.6052937774043206,46.59819722175598,False,0.020975324122349613,0
848633,2.624040605714167,46.482269525527954,False,0.012069258845915868,0
290025,2.7153503188479227,44.98729467391968,False,0.025234380293540373,0
801662,2.772240410343224,44.362677574157715,False,0.022573064925734496,0
483950,2.8552065179281048,43.309529304504395,False,0.02623037781740581,0
979415,2.685726969584237,47.137489557266235,False,0.025224513679086496,0
865233,2.719446873033352,46.676435470581055,False,0.02728641343713327,0
666353,2.7791283480765094,45.88797950744629,False,0.027973226545701897,0
892390,2.0023534408381307,68.995445728302,False,0.029275599371941602,0
319540,2.0034534005926616,69.2970769405365,False,0.011618160487545824,0
174753,2.0064598932921953,69.36622095108032,False,0.024491298146527198,0
817902,2.016942827187823,69.27053022384644,False,0.011916702887891945,0
833255,2.0134459577748722,69.86552834510803,False,0.02103403480459275,0
428602,2.02192550042677,69.81553196907043,False,0.020726955674809408,0
7021,2.080677210662467,68.39297890663147,False,0.015312320379008575,0
569980,2.0911212797652285,68.26888823509216,False,0.023996425970512863,0
744927,2.112720563173705,67.88300347328186,False,0.013664819137682591,0
910807,2.1009786646807798,68.41465306282043,False,0.022603303009121924,0
483265,2.134193004114074,67.82750344276428,False,0.02219006600295541,0
178566,2.1535629158218725,67.5661895275116,False,0.012591379643679618,0
611604,2.2091691683597974,66.33944964408875,False,0.01478290997231766,0
168596,2.2508416817746943,65.51546382904053,False,0.016134551388431586,0
